Time,Min,1pc,2pc,5pc,10pc,25pc,50pc,90pc,Max,Mean,Median,Std
20181227012844,197.59915,198.74973205566408,199.65082702636718,201.27413940429688,202.5447540283203,204.5875701904297,206.5672149658203,207.77114868164062,207.9993,205.75208,206.56721,2.1739476
20181227030529,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181227031110,184.0365,188.55738830566406,189.59634399414062,191.554931640625,193.99227905273438,199.00315856933594,203.38714599609375,207.2235870361328,207.9993,201.92807,203.38715,5.020633
20181227141111,185.08951,188.55026397705078,189.917370300293,194.01438903808594,196.6160125732422,199.2234115600586,203.1221466064453,207.49034118652344,207.9993,202.43973,203.12215,4.6929364
20181227141653,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181228010533,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181228011115,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181228024757,186.91821,190.8176498413086,191.7550048828125,192.7895736694336,193.62933349609375,195.80905151367188,199.31906127929688,206.5251007080078,207.9993,199.78583,199.31906,4.778872
20181228025339,184.85785,189.7578125,190.73007202148438,192.33766174316406,193.8504638671875,196.94979858398438,201.13021850585938,206.66549682617188,207.9993,200.60439,201.13022,4.7555428
20181228135342,173.05019,181.34432983398438,182.20779418945312,183.55563354492188,184.91049194335938,187.9747314453125,193.91014099121094,204.4647216796875,207.9993,194.21431,193.91014,7.213496
20181229023028,178.30467,186.7672882080078,187.90101623535156,190.05966186523438,192.27447509765625,196.31800842285156,200.7511444091797,206.50051879882812,207.9993,199.9658,200.75114,5.3135905
20181229133030,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181229133611,161.95508,170.61776733398438,171.65321350097656,173.6890106201172,175.83010864257812,180.17550659179688,186.40225219726562,199.45945739746094,207.9993,187.05171,186.40225,8.806352
20181229134154,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181229151255,167.75009,177.52194213867188,178.5363311767578,180.18603515625,182.19375610351562,186.60934448242188,192.3727569580078,203.94525146484375,207.9993,192.7492,192.37276,7.9228554
20181229151837,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181230021259,177.55002,184.23306274414062,185.10003662109375,186.84451293945312,188.87680053710938,193.51702880859375,200.03509521484375,206.77781677246094,207.9993,198.80147,200.0351,6.655764
20181230131300,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181230131841,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181230145526,184.6648,188.97157287597656,189.8280029296875,191.60055541992188,193.84239196777344,197.6553192138672,201.6321563720703,206.7567596435547,207.9993,200.9187,201.63216,4.852867
20181231014946,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181231015528,174.81923,184.82626342773438,186.25131225585938,188.82766723632812,192.26499938964844,199.9052276611328,203.8715362548828,207.30081176757812,207.9993,201.93439,203.87154,5.802155
20181231033212,203.03966,203.15970153808593,203.24815673828127,203.34854125976562,204.05755615234375,204.5875701904297,205.2404327392578,206.72515869140625,207.95718,205.26894,205.24043,1.1174021
20181231125531,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181231130112,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181231143755,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181231134102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181231134643,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181231135225,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
