"Filename","BT"
"VNP02IMG.A2016356.0542.001.2017274010305.nc",167.45
"VNP02IMG.A2019001.0042.001.2019001071248.nc",167.45
"VNP02IMG.A2019011.1518.001.2019012004439.nc",167.45
"VJ102IMG.A2018345.1736.002.2019211192219.nc",167.48
"VJ102IMG.A2018347.1330.002.2019211192508.nc",167.48
"VNP02IMG.A2018365.0106.001.2018365071146.nc",167.53
"VNP02IMG.A2013026.0418.001.2017291081055.nc",167.56
"VNP02IMG.A2018323.1518.001.2018323202824.nc",167.56
"VNP02IMG.A2020028.1600.001.2020049163047.nc",167.56
"VNP02IMG.A2016038.1242.001.2017265104211.nc",167.58
"VNP02IMG.A2019036.1230.001.2019036234554.nc",167.61
"VJ102IMG.A2018303.1542.002.2019208074721.nc",167.61
"VNP02IMG.A2019041.1418.001.2019041212147.nc",167.63
"VJ102IMG.A2018315.1330.002.2019208095154.nc",167.66
"VNP02IMG.A2012341.0512.001.2017290081243.nc",167.71
"VNP02IMG.A2018362.0348.001.2018362111021.nc",167.71
"VNP02IMG.A2018010.1442.001.2018060234714.nc",167.73
"VJ102IMG.A2018342.0548.002.2019211183644.nc",167.74
"VNP02IMG.A2018346.0342.001.2018346220430.nc",167.76
"VJ102IMG.A2018363.1512.002.2019210193558.nc",167.76
"VJ102IMG.A2019031.1136.002.2019212212935.nc",167.76
"VNP02IMG.A2012040.1524.001.2017285054111.nc",167.81
"VNP02IMG.A2019030.1242.001.2019030174519.nc",167.81
"VNP02IMG.A2012030.1512.001.2017285010021.nc",167.83
"VNP02IMG.A2016084.0542.001.2017269220737.nc",167.83
"VNP02IMG.A2018360.1524.001.2018360231006.nc",167.83
"VJ102IMG.A2018365.1254.002.2019210195718.nc",167.84
"VNP02IMG.A2018365.0248.001.2018365090109.nc",167.86
"VJ102IMG.A2018363.1654.002.2019210190454.nc",167.86
"VJ102IMG.A2019034.1724.002.2019212220003.nc",167.86
"VJ102IMG.A2019039.1406.002.2019212222758.nc",167.86
"VNP02IMG.A2017355.0500.001.2018060182255.nc",167.88
"VJ102IMG.A2019051.1518.002.2019212233732.nc",167.89
"VNP02IMG.A2016336.0518.001.2017273232114.nc",167.91
"VJ102IMG.A2018362.0436.002.2019210183735.nc",167.92
"VJ102IMG.A2019026.1312.002.2019212204925.nc",167.92
"VNP02IMG.A2020008.0430.001.2020038195444.nc",167.94
"VJ102IMG.A2018356.1406.002.2019210170106.nc",167.94
"VJ102IMG.A2018361.1412.002.2019210183213.nc",167.94
"VNP02IMG.A2018029.1530.001.2018076014839.nc",167.96
"VNP02IMG.A2020046.1706.001.2020049213512.nc",167.96
"VJ102IMG.A2019004.0218.002.2019212173721.nc",167.97
"VNP02IMG.A2013014.1548.001.2017292050106.nc",167.99
"VNP02IMG.A2015026.1400.001.2017259142837.nc",167.99
"VNP02IMG.A2019334.0330.001.2019334090744.nc",167.99
"VJ102IMG.A2018080.1518.002.2019198031941.nc",168.02
"VJ102IMG.A2019024.1348.002.2019212204126.nc",168.02
"VNP02IMG.A2016344.1706.001.2017273235118.nc",168.04
"VNP02IMG.A2016356.1642.001.2017274010036.nc",168.04
"VNP02IMG.A2018082.1536.001.2018082214340.nc",168.04
"VNP02IMG.A2019037.1354.001.2019038020858.nc",168.04
"VJ102IMG.A2020017.1336.002.2020024181928.nc",168.04
"VNP02IMG.A2013047.0424.001.2017291120613.nc",168.06
"VJ102IMG.A2020029.0530.002.2020029094244.nc",168.07
"VNP02IMG.A2015062.1424.001.2017260023027.nc",168.09
"VJ102IMG.A2018339.1748.002.2019211192542.nc",168.09
"VNP02IMG.A2015008.1436.001.2017258195912.nc",168.11
"VNP02IMG.A2013030.1406.001.2017291080016.nc",168.14
"VNP02IMG.A2015363.1154.001.2017264033405.nc",168.14
"VNP02IMG.A2019039.1318.001.2019039202736.nc",168.14
"VJ102IMG.A2018095.1400.002.2019198051304.nc",168.14
